TRIPID,PERSID,HHID,TRIPNO,STARTHOUR,STARTIME,ORIGCCD,ORIGSLA,ORIGLGA,ORIGPLACE1,ORIGPLACE2,ORIGPURP1,ORIGPURP2,ARRHOUR,ARRTIME,DESTCCD,DESTSLA,DESTLGA,DESTPLACE1,DESTPLACE2,DESTPURP1,DESTPURP2,CUMDIST,DEPHOUR,DEPTIME,LINKMODE,TRIPTIME,TRAVTIME,WAITIME,DURATION,TRAVELPERIOD,TRIPPURP,Mode_Group,ADTRIPWGT,WDTRIPWGT,WETRIPWGT
Y09H173820P01T01,Y09H173820P01,Y09H173820,1,7,420,2112109,Queenscliffe (B),Queenscliffe (B),Other,Unknown (at start of day),Unknown Purpose (at start of day),Unknown (at start of day),7,460,2101007,Surf Coast (S) - East,Surf Coast (S),Natural Feature,Park,Recreational,Recreational (NEC),37.95,8,510,Vehicle Passenger,40,40,0,50,Off Peak,Recreational,Vehicle Passenger,29.64394512, ,113.0636755
Y09H173820P01T02,Y09H173820P01,Y09H173820,2,8,510,2101007,Surf Coast (S) - East,Surf Coast (S),Natural Feature,Park,Recreational,Recreational (NEC),13,780,2100108,Surf Coast (S) - West,Surf Coast (S),Transport Feature,On-Street Feature,Recreational,Participated in sport,44.07,13,780,Bicycle,270,270,0,0,Off Peak,Recreational,Bicycle,29.64394512, ,113.0636755
Y09H173820P01T03,Y09H173820P01,Y09H173820,3,13,780,2100108,Surf Coast (S) - West,Surf Coast (S),Transport Feature,On-Street Feature,Recreational,Participated in sport,15,930,2101007,Surf Coast (S) - East,Surf Coast (S),Natural Feature,Park,Recreational,Recreational (NEC),44.07,15,945,Bicycle,150,150,0,15,Off Peak,Recreational,Bicycle,29.64394512, ,113.0636755
Y09H173820P01T04,Y09H173820P01,Y09H173820,4,15,945,2101007,Surf Coast (S) - East,Surf Coast (S),Natural Feature,Park,Recreational,Recreational (NEC),16,985,2112110,Queenscliffe (B),Queenscliffe (B),Accommodation,Accommodation NEC,Personal Business,Stayed overnight,38.06,N/A,N/A,Vehicle Passenger,40,40,0,N/A,Off Peak,Personal Business,Vehicle Passenger,29.64394512, ,113.0636755
Y09H173820P02T01,Y09H173820P02,Y09H173820,1,7,420,2112109,Queenscliffe (B),Queenscliffe (B),Other,Unknown (at start of day),Unknown Purpose (at start of day),Unknown (at start of day),7,460,2101007,Surf Coast (S) - East,Surf Coast (S),Natural Feature,Park,Recreational,Recreational (NEC),37.46,8,510,Vehicle Driver,40,40,0,50,Off Peak,Recreational,Vehicle Driver,36.20551351, ,143.9740776
Y09H173820P02T02,Y09H173820P02,Y09H173820,2,8,510,2101007,Surf Coast (S) - East,Surf Coast (S),Natural Feature,Park,Recreational,Recreational (NEC),13,780,2100108,Surf Coast (S) - West,Surf Coast (S),Transport Feature,On-Street Feature,Recreational,Participated in sport,44.07,13,780,Bicycle,270,270,0,0,Off Peak,Recreational,Bicycle,36.20551351, ,143.9740776
Y09H173820P02T03,Y09H173820P02,Y09H173820,3,13,780,2100108,Surf Coast (S) - West,Surf Coast (S),Transport Feature,On-Street Feature,Recreational,Participated in sport,15,930,2101007,Surf Coast (S) - East,Surf Coast (S),Natural Feature,Park,Recreational,Recreational (NEC),44.07,15,945,Bicycle,150,150,0,15,Off Peak,Recreational,Bicycle,36.20551351, ,143.9740776
Y09H173820P02T04,Y09H173820P02,Y09H173820,4,15,945,2101007,Surf Coast (S) - East,Surf Coast (S),Natural Feature,Park,Recreational,Recreational (NEC),16,985,2112110,Queenscliffe (B),Queenscliffe (B),Accommodation,Accommodation NEC,Personal Business,Stayed overnight,38.06,N/A,N/A,Vehicle Driver,40,40,0,N/A,Off Peak,Personal Business,Vehicle Driver,36.20551351, ,143.9740776
Y09H124341P01T03,Y09H124341P01,Y09H124341,3,14,840,2112309,Corio - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,15,900,2101307,Surf Coast (S) - West,Surf Coast (S),Recreational Place,Sport Ground or Oval,Social,Watched sport,52.49,17,1020,Vehicle Driver,60,60,0,120,Off Peak,Social,Vehicle Driver,75.70417544, ,220.4466391
Y09H124341P01T04,Y09H124341P01,Y09H124341,4,17,1020,2101307,Surf Coast (S) - West,Surf Coast (S),Recreational Place,Sport Ground or Oval,Social,Watched sport,17,1070,2112309,Corio - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,52.56,N/A,N/A,Vehicle Driver,50,50,0,N/A,Off Peak,Social,Vehicle Driver,75.70417544, ,220.4466391
Y09H124341P02T01,Y09H124341P02,Y09H124341,1,14,840,2112309,Corio - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,15,900,2101307,Surf Coast (S) - West,Surf Coast (S),Recreational Place,Sport Ground or Oval,Social,Watched sport,52.49,17,1020,Vehicle Passenger,60,60,0,120,Off Peak,Social,Vehicle Passenger,108.2080433, ,323.410016
Y09H124341P02T02,Y09H124341P02,Y09H124341,2,17,1020,2101307,Surf Coast (S) - West,Surf Coast (S),Recreational Place,Sport Ground or Oval,Social,Watched sport,17,1070,2112309,Corio - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,52.56,N/A,N/A,Vehicle Passenger,50,50,0,N/A,Off Peak,Social,Vehicle Passenger,108.2080433, ,323.410016
Y09H140131P04T01,Y09H140131P04,Y09H140131,1,7,450,2112512,South Barwon - Inner,Greater Geelong (C),Other,Unknown (at start of day),Unknown Purpose (at start of day),Unknown (at start of day),8,495,2100106,Surf Coast (S) - West,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,42.55,15,930,Vehicle Driver,45,45,0,435,AM Peak (7am to 9am),Work Related,Vehicle Driver,77.27455271,116.5799246, 
Y09H140131P04T02,Y09H140131P04,Y09H140131,2,15,930,2100106,Surf Coast (S) - West,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,16,990,2112802,Bellarine - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,50.26,N/A,N/A,Vehicle Driver,60,60,0,N/A,PM Peak (3pm to 6pm),Work Related,Vehicle Driver,77.27455271,116.5799246, 
Y09H140215P01T01,Y09H140215P01,Y09H140215,1,7,460,2111712,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,8,495,2101211,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,31.78,17,1020,Vehicle Driver,35,35,0,525,AM Peak (7am to 9am),Work Related,Vehicle Driver,66.82652428,104.1381665, 
Y09H140215P01T02,Y09H140215P01,Y09H140215,2,17,1020,2101211,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,17,1060,2111712,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,31.77,N/A,N/A,Vehicle Driver,40,40,0,N/A,PM Peak (3pm to 6pm),Work Related,Vehicle Driver,66.82652428,104.1381665, 
Y09H140303P01T05,Y09H140303P01,Y09H140303,5,14,840,2112512,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,14,860,2101007,Surf Coast (S) - East,Surf Coast (S),Natural Feature,Bay or Beach,Personal Business,Walked the dog,17.23,15,910,Vehicle Driver,20,20,0,50,Off Peak,Personal Business,Vehicle Driver,98.88186303,103.7959288, 
Y09H140303P01T06,Y09H140303P01,Y09H140303,6,15,910,2101007,Surf Coast (S) - East,Surf Coast (S),Natural Feature,Bay or Beach,Personal Business,Walked the dog,15,930,2112512,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,17.23,20,1200,Vehicle Driver,20,20,0,270,PM Peak (3pm to 6pm),Personal Business,Vehicle Driver,98.88186303,103.7959288, 
Y09H140309P02T01,Y09H140309P02,Y09H140309,1,8,480,2112512,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,8,495,2101007,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,17.27,12,750,Vehicle Driver,15,15,0,255,AM Peak (7am to 9am),Work Related,Vehicle Driver,72.32115686,105.7951912, 
Y09H140309P02T02,Y09H140309P02,Y09H140309,2,12,750,2101007,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,13,780,2110803,Geelong,Greater Geelong (C),Social Place,Restaurant or Cafe,Work Related,Employer's Business,22.43,15,900,Vehicle Driver,30,30,0,120,Off Peak,Work Related,Vehicle Driver,72.32115686,105.7951912, 
Y09H140311P01T01,Y09H140311P01,Y09H140311,1,9,580,2112512,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,9,595,2101007,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,16.75,13,830,Vehicle Driver,15,15,0,235,Off Peak,Work Related,Vehicle Driver,58.64010346,84.80488114, 
Y09H140311P01T02,Y09H140311P01,Y09H140311,2,13,830,2101007,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,14,840,2101209,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Social,Ate or drank,2.13,14,875,Vehicle Driver,10,10,0,35,Off Peak,Social,Vehicle Driver,58.64010346,84.80488114, 
Y09H140311P01T03,Y09H140311P01,Y09H140311,3,14,875,2101209,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Social,Ate or drank,14,890,2101007,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,2.09,18,1110,Vehicle Driver,15,15,0,220,Off Peak,Work Related,Vehicle Driver,58.64010346,84.80488114, 
Y09H140311P01T04,Y09H140311P01,Y09H140311,4,18,1110,2101007,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,18,1125,2112512,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,16.75,21,1260,Vehicle Driver,15,15,0,135,Off Peak,Work Related,Vehicle Driver,58.64010346,84.80488114, 
Y09H140323P03T01,Y09H140323P03,Y09H140323,1,8,480,2112512,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,8,510,2101007,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,17.18,15,930,Vehicle Driver,30,30,0,420,AM Peak (7am to 9am),Work Related,Vehicle Driver,72.4421766,106.9284207, 
Y09H140323P03T02,Y09H140323P03,Y09H140323,2,15,930,2101007,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,16,960,2111108,South Barwon - Inner,Greater Geelong (C),Recreational Place,Gym,Recreational,Other recreational (eg. exercise),18.75,17,1050,Vehicle Driver,30,30,0,90,PM Peak (3pm to 6pm),Recreational,Vehicle Driver,72.4421766,106.9284207, 
Y09H140416P01T01,Y09H140416P01,Y09H140416,1,9,545,2111108,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,9,570,2101405,Surf Coast (S) - West,Surf Coast (S),Workplace,Another Workplace,Work Related,Employer's Business,22.41,14,890,Vehicle Driver,25,25,0,320,Off Peak,Work Related,Vehicle Driver,90.28767829,94.4478395, 
Y09H140416P01T02,Y09H140416P01,Y09H140416,2,14,890,2101405,Surf Coast (S) - West,Surf Coast (S),Workplace,Another Workplace,Work Related,Employer's Business,15,920,2111108,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,22.37,N/A,N/A,Vehicle Driver,30,30,0,N/A,Off Peak,Work Related,Vehicle Driver,90.28767829,94.4478395, 
Y09H140422P01T01,Y09H140422P01,Y09H140422,1,8,493,2111108,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,8,511,2101007,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,18.47,17,1028,Vehicle Driver,18,18,0,517,AM Peak (7am to 9am),Work Related,Vehicle Driver,81.66195568,119.3015164, 
Y09H140422P01T02,Y09H140422P01,Y09H140422,2,17,1028,2101007,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,17,1045,2111010,South Barwon - Inner,Greater Geelong (C),Shops,Supermarket,Buy Something,Bought something,17.39,17,1057,Vehicle Driver,17,17,0,12,PM Peak (3pm to 6pm),Buy Something,Vehicle Driver,81.66195568,119.3015164, 
Y09H140438P01T01,Y09H140438P01,Y09H140438,1,11,690,2111108,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,12,720,2101007,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Social,Visited someone,18.81,13,810,Vehicle Driver,30,30,0,90,Off Peak,Social,Vehicle Driver,60.23773379,86.61668658, 
Y09H140438P01T02,Y09H140438P01,Y09H140438,2,13,810,2101007,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Social,Visited someone,14,840,2111108,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,18.82,N/A,N/A,Vehicle Driver,30,30,0,N/A,Off Peak,Social,Vehicle Driver,60.23773379,86.61668658, 
Y09H140438P02T01,Y09H140438P02,Y09H140438,1,11,690,2111108,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,12,720,2101007,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Social,Visited someone,18.81,13,810,Vehicle Passenger,30,30,0,90,Off Peak,Social,Vehicle Passenger,67.09874444,96.30002128, 
Y09H140438P02T02,Y09H140438P02,Y09H140438,2,13,810,2101007,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Social,Visited someone,14,840,2111108,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,18.82,N/A,N/A,Vehicle Passenger,30,30,0,N/A,Off Peak,Social,Vehicle Passenger,67.09874444,96.30002128, 
Y09H140501P01T01,Y09H140501P01,Y09H140501,1,5,300,2111805,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,5,330,2101007,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,29.8,14,840,Vehicle Driver,30,30,0,510,Off Peak,Work Related,Vehicle Driver,41.23673432,58.41366738, 
Y09H140501P01T02,Y09H140501P01,Y09H140501,2,14,840,2101007,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,14,870,2111805,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,29.77,N/A,N/A,Vehicle Driver,30,30,0,N/A,Off Peak,Work Related,Vehicle Driver,41.23673432,58.41366738, 
Y09H140617P01T01,Y09H140617P01,Y09H140617,1,9,565,2110910,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,13,820,2100108,Surf Coast (S) - West,Surf Coast (S),Accommodation,Someone Else's Home,Personal Business,Stayed overnight,68.19,N/A,N/A,Public Bus,255,200,55,N/A,Off Peak,Personal Business,Bus,180.2542469,277.2122538, 
Y09H140621P02T01,Y09H140621P02,Y09H140621,1,7,450,2110910,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,8,510,2100108,Surf Coast (S) - West,Surf Coast (S),Transport Feature,Waterside Structure,Recreational,Recreational (NEC),60.41,11,660,Vehicle Driver,60,60,0,150,Off Peak,Recreational,Vehicle Driver,108.7319989, ,343.7982958
Y09H140621P02T02,Y09H140621P02,Y09H140621,2,11,660,2100108,Surf Coast (S) - West,Surf Coast (S),Transport Feature,Waterside Structure,Recreational,Recreational (NEC),12,765,2110910,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,60.43,N/A,N/A,Vehicle Driver,105,105,0,N/A,Off Peak,Recreational,Vehicle Driver,108.7319989, ,343.7982958
Y09H140627P03T01,Y09H140627P03,Y09H140627,1,10,630,2101007,Surf Coast (S) - East,Surf Coast (S),Other,Unknown (at start of day),Unknown Purpose (at start of day),Unknown (at start of day),11,660,2110910,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,21.05,11,690,Vehicle Passenger,30,30,0,30,Off Peak,Unknown Purpose (at start of day),Vehicle Passenger,78.85008054, ,270.8716962
Y09H140731P03T01,Y09H140731P03,Y09H140731,1,5,300,2110101,Geelong West,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,5,330,2101307,Surf Coast (S) - West,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,40,14,840,Vehicle Driver,30,30,0,510,Off Peak,Work Related,Vehicle Driver,49.67067717,81.65519563, 
Y09H140731P03T02,Y09H140731P03,Y09H140731,2,14,840,2101307,Surf Coast (S) - West,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,14,870,2110101,Geelong West,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,40,N/A,N/A,Vehicle Driver,30,30,0,N/A,Off Peak,Work Related,Vehicle Driver,49.67067717,81.65519563, 
Y09H140821P01T01,Y09H140821P01,Y09H140821,1,6,360,2112002,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,7,435,2101206,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Personal Business,Stayed overnight,56.72,N/A,N/A,Vehicle Driver,75,75,0,N/A,Off Peak,Personal Business,Vehicle Driver,46.3773133, ,171.3073478
Y09H140821P02T01,Y09H140821P02,Y09H140821,1,6,360,2112002,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,7,435,2101206,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Accompany Someone,Accompanied someone,56.72,24,1440,Vehicle Passenger,75,75,0,1005,Off Peak,Accompany Someone,Vehicle Passenger,53.12516742, ,189.034103
Y09H140821P02T02,Y09H140821P02,Y09H140821,2,24,1440,2101206,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Accompany Someone,Accompanied someone,25,1515,2112002,Greater Geelong (C) - Pt B,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,56.72,N/A,N/A,Vehicle Driver,75,75,0,N/A,Off Peak,Accompany Someone,Vehicle Driver,53.12516742, ,189.034103
Y09H141114P01T02,Y09H141114P01,Y09H141114,2,13,825,2110406,Newtown,Greater Geelong (C),Accommodation,Someone Else's Home,Social,Visited someone,14,890,2100108,Surf Coast (S) - West,Surf Coast (S),Workplace,Another Workplace,Work Related,Employer's Business,63.47,17,1020,Vehicle Driver,65,65,0,130,Off Peak,Work Related,Vehicle Driver,46.76951045, ,123.1805328
Y09H141114P01T03,Y09H141114P01,Y09H141114,3,17,1020,2100108,Surf Coast (S) - West,Surf Coast (S),Workplace,Another Workplace,Work Related,Employer's Business,18,1085,2110303,Geelong West,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,64.55,N/A,N/A,Vehicle Driver,65,65,0,N/A,Off Peak,Work Related,Vehicle Driver,46.76951045, ,123.1805328
Y09H141310P04T01,Y09H141310P04,Y09H141310,1,7,450,2110205,Geelong West,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,8,480,2101007,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,24.19,16,1000,Vehicle Driver,30,30,0,520,AM Peak (7am to 9am),Work Related,Vehicle Driver,40.44987467,66.68188149, 
Y09H141310P04T02,Y09H141310P04,Y09H141310,2,16,1000,2101007,Surf Coast (S) - East,Surf Coast (S),Workplace,My Workplace,Work Related,Own Workplace,16,1015,2111408,South Barwon - Inner,Greater Geelong (C),Accommodation,Someone Else's Home,Social,Visited someone,16.33,17,1050,Vehicle Driver,15,15,0,35,PM Peak (3pm to 6pm),Social,Vehicle Driver,40.44987467,66.68188149, 
Y09H141316P01T01,Y09H141316P01,Y09H141316,1,9,580,2110205,Geelong West,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,11,713,2100108,Surf Coast (S) - West,Surf Coast (S),Accommodation,2nd Home,Go Home,At other house,66.13,N/A,N/A,Public Bus,133,101,32,N/A,Off Peak,Go Home,Bus,35.49822117,52.86959534, 
Y09H141326P02T01,Y09H141326P02,Y09H141326,1,11,660,2101309,Surf Coast (S) - West,Surf Coast (S),Other,Unknown (at start of day),Unknown Purpose (at start of day),Unknown (at start of day),11,663,2101307,Surf Coast (S) - West,Surf Coast (S),Shops,Petrol Station,Buy Something,Bought something,2.41,11,668,Vehicle Driver,3,3,0,5,Off Peak,Buy Something,Vehicle Driver,33.96580266,55.55044898, 
Y09H141326P02T02,Y09H141326P02,Y09H141326,2,11,668,2101307,Surf Coast (S) - West,Surf Coast (S),Shops,Petrol Station,Buy Something,Bought something,11,710,2110205,Geelong West,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,38.52,14,840,Vehicle Driver,42,42,0,130,Off Peak,Buy Something,Vehicle Driver,33.96580266,55.55044898, 
Y09H141606P02T05,Y09H141606P02,Y09H141606,5,26,1590,2111411,South Barwon - Inner,Greater Geelong (C),Accommodation,Someone Else's Home,Social,Ate or drank,26,1605,2101209,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Personal Business,Stayed overnight,16.96,N/A,N/A,Vehicle Driver,15,15,0,N/A,Off Peak,Personal Business,Vehicle Driver,77.35888517, ,283.49263
Y09H141607P01T01,Y09H141607P01,Y09H141607,1,12,745,2101405,Surf Coast (S) - West,Surf Coast (S),Other,Unknown (at start of day),Unknown Purpose (at start of day),Unknown (at start of day),12,768,2111005,South Barwon - Inner,Greater Geelong (C),Shops,Food Store,Buy Something,Bought something,20.02,12,775,Vehicle Driver,23,23,0,7,Off Peak,Buy Something,Vehicle Driver,72.55647323, ,271.479445
Y09H141635P02T01,Y09H141635P02,Y09H141635,1,16,960,2110902,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,16,980,2101202,Surf Coast (S) - East,Surf Coast (S),Accommodation,Farm,Recreational,Other recreational (eg. exercise),15.79,17,1060,Vehicle Driver,20,20,0,80,Off Peak,Recreational,Vehicle Driver,80.10102071, ,279.6455202
Y09H141635P02T02,Y09H141635P02,Y09H141635,2,17,1060,2101202,Surf Coast (S) - East,Surf Coast (S),Accommodation,Farm,Recreational,Other recreational (eg. exercise),18,1080,2110902,South Barwon - Inner,Greater Geelong (C),Accommodation,Survey Home,Go Home,Go home,15.97,19,1170,Vehicle Driver,20,20,0,90,Off Peak,Recreational,Vehicle Driver,80.10102071, ,279.6455202
Y09H141811P01T03,Y09H141811P01,Y09H141811,3,17,1040,2110401,Newtown,Greater Geelong (C),Accommodation,Survey Home,At Home,At home,17,1060,2101001,Surf Coast (S) - East,Surf Coast (S),Accommodation,Someone Else's Home,Social,Visited someone,21.02,20,1245,Vehicle Driver,20,20,0,185,PM Peak (3pm to 6pm),Social,Vehicle Driver,66.01323534,87.85494188, 
