TRIPID,PERSID,HHID,TRIPNO,STARTHOUR,STARTIME,ORIGCCD,ORIGSLA,ORIGLGA,ORIGPLACE1,ORIGPLACE2,ORIGPURP1,ORIGPURP2,ARRHOUR,ARRTIME,DESTCCD,DESTSLA,DESTLGA,DESTPLACE1,DESTPLACE2,DESTPURP1,DESTPURP2,CUMDIST,DEPHOUR,DEPTIME,LINKMODE,TRIPTIME,TRAVTIME,WAITIME,DURATION,TRAVELPERIOD,TRIPPURP,Mode_Group,ADTRIPWGT,WDTRIPWGT,WETRIPWGT
Y09H150741P01T01,Y09H150741P01,Y09H150741,1,16,990,2080601,Ballarat (C) - North,Ballarat (C),Accommodation,Survey Home,At Home,At home,18,1110,2101209,Surf Coast (S) - East,Surf Coast (S),Accommodation,2nd Home,Personal Business,At other house,127.16,N/A,N/A,Vehicle Driver,120,120,0,N/A,Off Peak,Personal Business,Vehicle Driver,5.085271404, ,21.37825126
Y09H150741P02T04,Y09H150741P02,Y09H150741,4,16,990,2080601,Ballarat (C) - North,Ballarat (C),Accommodation,Survey Home,At Home,At home,18,1110,2101209,Surf Coast (S) - East,Surf Coast (S),Accommodation,2nd Home,Go Home,At other house,127.16,N/A,N/A,Vehicle Passenger,120,120,0,N/A,Off Peak,Go Home,Vehicle Passenger,5.047651486, ,22.31332503
Y09H150741P03T04,Y09H150741P03,Y09H150741,4,16,990,2080601,Ballarat (C) - North,Ballarat (C),Accommodation,Survey Home,At Home,At home,18,1110,2101209,Surf Coast (S) - East,Surf Coast (S),Accommodation,2nd Home,Personal Business,Stayed overnight,127.16,N/A,N/A,Vehicle Passenger,120,120,0,N/A,Off Peak,Personal Business,Vehicle Passenger,5.769813411, ,20.30306756
Y09H150741P04T04,Y09H150741P04,Y09H150741,4,16,990,2080601,Ballarat (C) - North,Ballarat (C),Accommodation,Survey Home,At Home,At home,18,1110,2101209,Surf Coast (S) - East,Surf Coast (S),Accommodation,2nd Home,Personal Business,Stayed overnight,127.16,N/A,N/A,Vehicle Passenger,120,120,0,N/A,Off Peak,Personal Business,Vehicle Passenger,5.769813411, ,20.30306756
Y09H152916P02T02,Y09H152916P02,Y09H152916,2,9,570,2080612,Ballarat (C) - Inner North,Ballarat (C),Workplace,My Workplace,Work Related,Own Workplace,11,665,2101206,Surf Coast (S) - East,Surf Coast (S),Workplace,Another Workplace,Work Related,Employer's Business,112.58,12,750,Vehicle Driver,95,95,0,85,Off Peak,Work Related,Vehicle Driver,35.87264154,47.47870922, 
Y09H152916P02T03,Y09H152916P02,Y09H152916,3,12,750,2101206,Surf Coast (S) - East,Surf Coast (S),Workplace,Another Workplace,Work Related,Employer's Business,14,840,2080612,Ballarat (C) - Inner North,Ballarat (C),Workplace,My Workplace,Work Related,Own Workplace,112.55,18,1080,Vehicle Driver,90,90,0,240,Off Peak,Work Related,Vehicle Driver,35.87264154,47.47870922, 
Y09H163407P04T01,Y09H163407P04,Y09H163407,1,16,990,2101007,Surf Coast (S) - East,Surf Coast (S),Other,Unknown (at start of day),Unknown Purpose (at start of day),Unknown (at start of day),19,1185,2070905,Gr. Bendigo (C) - Pt B,Greater Bendigo (C),Accommodation,Survey Home,Go Home,Go home,190.55,N/A,N/A,Vehicle Driver,195,195,0,N/A,Off Peak,Unknown Purpose (at start of day),Vehicle Driver,30.62540473, ,109.4157639
Y09H163834P03T01,Y09H163834P03,Y09H163834,1,18,1080,2100102,Surf Coast (S) - West,Surf Coast (S),Other,Unknown (at start of day),Unknown Purpose (at start of day),Unknown (at start of day),18,1115,2111101,South Barwon - Inner,Greater Geelong (C),Shops,Supermarket,Buy Something,Bought something,40.73,19,1140,Vehicle Passenger,35,35,0,25,Off Peak,Buy Something,Vehicle Passenger,69.20604783, ,201.945877
Y09H163834P03T03,Y09H163834P03,Y09H163834,3,22,1350,2110309,Geelong West,Greater Geelong (C),Recreational Place,Sport Ground or Oval,Social,Socialised (Pubs - Clubs etc),23,1390,2101305,Surf Coast (S) - West,Surf Coast (S),Accommodation,Someone Else's Home,Accompany Someone,Accompanied someone,36.84,23,1395,Vehicle Passenger,40,40,0,5,Off Peak,Accompany Someone,Vehicle Passenger,69.20604783, ,201.945877
Y09H163834P03T04,Y09H163834P03,Y09H163834,4,23,1395,2101305,Surf Coast (S) - West,Surf Coast (S),Accommodation,Someone Else's Home,Accompany Someone,Accompanied someone,23,1410,2100102,Surf Coast (S) - West,Surf Coast (S),Accommodation,Someone Else's Home,Personal Business,Stayed overnight,13.3,N/A,N/A,Vehicle Passenger,15,15,0,N/A,Off Peak,Personal Business,Vehicle Passenger,69.20604783, ,201.945877
